horse_id,horse_name,sire_ei,bms_ei,sire_win_rate,bms_win_rate,sire_runners,sire_progeny_prize,bms_runners,bms_progeny_prize,sire_rank_score,bms_rank_score,dam_prize,sire_prize,trainer_score,owner_score,breeder_score,birth_month,sire_age,dam_age,dam_sire_age,early_born,sire_young,dam_young,both_parents_young,sire_first_crop,dam_bms_gap_small,sale_price_log,foal_number,dam_breeding_age,total_dam_foals,sibling_classic,dam_progeny_quality,sire_classic_count,sire_classic_rate,sire_oaks_count,sire_oaks_rate,bms_classic_count,dam_high_class,sire_ei_trend,imported_dam,sire_dam_interaction,trainer_breeder_combo,owner_trainer_combo,bms_dam_interaction,score
2024106139,アドマイヤローザの2024,1.97,1.55,0.293,0.257,208,272546.4,171,176100.5,96.0,90.0,4241.0,187684.0,85.0,90.0,95.0,3,12.0,10.0,18.0,1,1.0,1.0,1.0,0.0,1.0,0.0,4.0,7.0,4,0,0.0,5,2.403846153846154,2,0.9615384615384616,2,0,0.20999999999999996,0,16.45499656619552,8075.0,7650.0,12.946824709443174,469.53570247470947
2024106973,インフレキシビリティの2024,1.97,1.09,0.293,0.348,208,272546.4,23,16685.8,96.0,0.0,0.0,187684.0,90.0,85.0,85.0,1,12.0,10.0,20.0,1,1.0,1.0,1.0,0.0,1.0,0.0,4.0,7.0,4,0,0.0,5,2.403846153846154,2,0.9615384615384616,1,0,0.20999999999999996,1,0.0,7650.0,7650.0,0.0,452.4346681957705
2024106748,ロカの2024,1.55,1.55,0.25,0.257,204,209958.4,171,176100.5,90.0,90.0,2836.0,13040.0,87.0,90.0,95.0,3,11.0,12.0,18.0,1,1.0,1.0,1.0,0.0,1.0,0.0,7.0,6.0,7,1,0.16666666666666666,0,0.0,0,0.0,2,0,0.42999999999999994,0,12.323278773953719,8265.0,7830.0,12.323278773953719,447.60462433709796
2024106398,スクールミストレスの2024,1.94,1.13,0.375,0.667,341,440117.9,9,6729.4,100.0,0.0,0.0,47639.0,90.0,82.0,95.0,1,14.0,11.0,25.0,1,0.0,1.0,0.0,0.0,1.0,0.0,5.0,7.0,5,0,0.0,8,2.346041055718475,4,1.1730205278592376,0,0,0.06999999999999984,1,0.0,8550.0,7380.0,0.0,444.05266941849237
2024106653,モアナの2024,1.94,0.37,0.375,0.139,341,440117.9,79,19581.7,100.0,0.0,10045.0,47639.0,85.0,90.0,95.0,3,14.0,10.0,21.0,1,0.0,1.0,0.0,0.0,1.0,0.0,3.0,8.0,3,0,0.0,8,2.346041055718475,4,1.1730205278592376,0,1,0.06999999999999984,0,17.876963859161382,8075.0,7650.0,3.4095240349946967,440.38716707609404
