horse_id,horse_name,sex,sire_ei,bms_ei,sire_2yo_ei,sire_win_rate,bms_win_rate,sire_runners,sire_progeny_prize,bms_runners,sire_rank_score,bms_rank_score,bms_progeny_prize,dam_prize,sire_prize,trainer_score,owner_score,breeder_score,birth_month,sire_age,dam_age,dam_sire_age,early_born,sire_young,dam_young,both_parents_young,sire_first_crop,dam_bms_gap_small,sale_price_log,foal_number,dam_breeding_age,total_dam_foals,sibling_classic,sire_classic_count,sire_classic_rate,imported_dam,dam_progeny_quality,sire_dam_interaction,trainer_breeder_combo,owner_trainer_combo,bms_dam_interaction,score
2024106622,マルシュロレーヌの2024,1,1.97,1.01,0.0,0.293,0.265,208,272546.4,98,96.0,56.0,65947.6,6607.0,187684.0,88.0,82.0,95.0,3,12,8,16,1,1,1,1,0,1,0.0,2.0,7.0,2,0,5,2.403846153846154,0,0.0,17.328191540945603,8360.0,7216.0,8.883996678352823,634.6100821442984
2024106653,モアナの2024,1,1.94,0.37,0.0,0.375,0.139,341,440117.9,79,100.0,0.0,19581.7,10045.0,47639.0,85.0,90.0,95.0,3,14,10,21,1,0,1,0,0,1,0.0,3.0,8.0,3,0,8,2.346041055718475,0,0.0,17.876963859161382,8075.0,7650.0,3.4095240349946967,632.9329736521776
2024106486,ドナウデルタの2024,0,1.2,0.55,0.0,0.302,0.197,315,251282.6,178,92.0,54.0,64880.2,12738.0,68779.0,90.0,82.0,95.0,1,14,8,16,1,0,1,0,0,1,0.0,2.0,7.0,2,0,4,1.2698412698412698,0,0.0,11.342908119731744,8550.0,7380.0,5.198832888210384,632.7323429543902
2024106547,フォースタークルックの2024,1,0.54,2.14,0.0,0.238,1.0,80,28808.9,3,0.0,0.0,4260.0,0.0,119529.0,88.0,90.0,95.0,2,7,12,26,1,1,1,1,1,1,0.0,4.0,8.0,4,0,0,0.0,1,0.0,0.0,8360.0,7920.0,0.0,628.7622285929979
2024106973,インフレキシビリティの2024,1,1.97,1.09,0.0,0.293,0.348,208,272546.4,23,96.0,0.0,16685.8,0.0,187684.0,90.0,85.0,85.0,1,12,10,20,1,1,1,1,0,1,0.0,4.0,7.0,4,0,5,2.403846153846154,1,0.0,0.0,7650.0,7650.0,0.0,628.7290889400701
2024106690,リスグラシューの2024,0,1.03,1.54,0.0,0.288,0.222,198,134898.4,329,76.0,96.0,335812.1,88738.0,52358.0,88.0,82.0,95.0,4,8,10,23,1,1,1,1,0,1,0.0,3.0,7.0,3,0,1,0.5050505050505051,0,0.0,11.73525839867386,8360.0,7216.0,17.54592032423082,627.9262686659605
2024106670,ラサルダンの2024,1,1.94,0.0,0.0,0.375,0.0,341,440117.9,1,100.0,0.0,0.0,0.0,47639.0,85.0,82.0,95.0,3,14,10,28,1,0,1,0,0,0,0.0,4.0,7.0,4,0,8,2.346041055718475,1,0.0,0.0,8075.0,6970.0,0.0,626.6904794000742
2024106316,キューティボンド,0,1.03,1.39,0.0,0.288,0.2,198,134898.4,5,76.0,0.0,4629.7,0.0,52358.0,85.0,78.0,95.0,1,8,10,19,1,1,1,1,0,1,9.83633227734872,6.0,5.0,6,1,1,0.5050505050505051,1,0.2,0.0,8075.0,6630.0,0.0,623.3690018655608
2024106537,フィニフティの2024,1,1.86,1.21,0.0,0.319,0.283,326,402126.4,686,98.0,100.0,549313.6,4795.0,66995.0,85.0,82.0,95.0,3,16,9,22,1,0,1,0,0,1,0.0,3.0,7.0,3,0,3,0.9202453987730062,0,0.0,15.764499780034175,8075.0,6970.0,10.25540039453836,622.1001112149426
2024106684,リアアメリアの2024,1,1.2,1.21,0.0,0.302,0.283,315,251282.6,686,92.0,100.0,549313.6,11229.0,68779.0,89.0,82.0,95.0,3,14,7,22,1,0,1,0,0,1,0.0,1.0,7.0,1,0,4,1.2698412698412698,0,0.0,11.191612857278987,8455.0,7298.0,11.28487629775631,621.3142542970675
2024106297,グランアレグリアの2024,0,0.96,1.21,0.0,0.257,0.283,257,164742.8,686,84.0,100.0,549313.6,107381.0,53624.0,87.0,90.0,95.0,2,13,8,22,1,1,1,1,0,1,0.0,2.0,7.0,2,0,1,0.38910505836575876,0,0.0,11.120781935275645,8265.0,7830.0,14.01681889758701,620.4342042031637
2024106573,プリンセスノーアの2024,0,1.97,1.5,0.0,0.293,1.0,208,272546.4,2,96.0,0.0,1994.0,0.0,187684.0,80.0,90.0,95.0,4,12,6,10,1,1,1,1,0,1,0.0,3.0,4.0,3,0,5,2.403846153846154,1,0.0,0.0,7600.0,7200.0,0.0,619.7260089528615
2024106314,コンサートホールの2024,1,1.97,1.03,0.0,0.293,0.298,208,272546.4,47,96.0,8.0,32038.0,0.0,187684.0,84.0,90.0,95.0,3,12,5,22,1,1,1,1,0,0,0.0,1.0,5.0,1,0,5,2.403846153846154,1,0.0,0.0,7980.0,7560.0,0.0,619.1502560699366
