horse_id,horse_name,sex,trainer,trainer_id,sire,sire_id,dam,dam_id,sire_of_dam,bms_id,owner,breeder,total_prize,sire_birth_year,dam_birth_year,bms_birth_year
2025107912,シルヴィーエムの2025,牝,,,ヒガシウィルウィン,2014104453,シルヴィーエム,2017106180,エスケンデレヤ,000a012cc0,,ヤスナカファーム,0.0,2014.0,2017.0,2007.0
2025107911,サエールフェイスの2025,牝,,,カフェファラオ,2017110151,サエールフェイス,2019102502,ザファクター,000a0130d0,,ヤスナカファーム,0.0,2017.0,2019.0,2008.0
2025107910,ゲッテルフンケンの2025,牡,,,ヒガシウィルウィン,2014104453,ゲッテルフンケン,2016101806,ストロングリターン,2006102934,,ヤスナカファーム,0.0,2014.0,2016.0,2006.0
2025107909,クリーペルの2025,牡,,,ヒガシウィルウィン,2014104453,クリーペル,2006104764,タイキシャトル,1994109686,,ヤスナカファーム,0.0,2014.0,2006.0,1994.0
2025107908,ギエムボレロの2025,牝,,,ダノンレジェンド,2010110102,ギエムボレロ,2017100296,サウスヴィグラス,1996110138,,ヤスナカファーム,0.0,2010.0,2017.0,1996.0
2025107907,オウケンロジータの2025,牡,,,コパノリッキー,2010106548,オウケンロジータ,2017106232,ルーラーシップ,2007103143,,ヤスナカファーム,0.0,2010.0,2017.0,2007.0
2025107906,オウケンザパールの2025,牡,,,サリオス,2017105327,オウケンザパール,2017101572,オルフェーヴル,2008102636,,ヤスナカファーム,0.0,2017.0,2017.0,2008.0
2025107905,アポロドリームの2025,牝,,,シャンハイボビー,000a0127e4,アポロドリーム,2018100035,ドゥラメンテ,2012104511,,ヤスナカファーム,0.0,2010.0,2018.0,2012.0
2025107904,アナベルヒマワリの2025,牝,,,シュネルマイスター,2018110007,アナベルヒマワリ,2020103310,ダイワメジャー,2001103114,,ヤスナカファーム,0.0,2018.0,2020.0,2001.0
2025107903,アイアムネオの2025,牝,,,ダノンレジェンド,2010110102,アイアムネオ,2006102889,ネオユニヴァース,2000101426,,ヤスナカファーム,0.0,2010.0,2006.0,2000.0
2025107902,ルージュイデアルの2025,牡,,,ディーマジェスティ,2013104704,ルージュイデアル,2018105504,ハーツクライ,2001103038,,日西牧場,0.0,2013.0,2018.0,2001.0
2025107901,マオノココロの2025,牝,,,ゴールドアクター,2011105266,マオノココロ,2013103031,ヴァーミリアン,2002100877,,日西牧場,0.0,2011.0,2013.0,2002.0
2025107900,ココリジャスミンの2025,牡,,,ファストフォース,2016102197,ココリジャスミン,2016101224,クロフネ,1998110135,,日西牧場,0.0,2016.0,2016.0,1998.0
2025107899,ココリエルサの2025,牡,,,ストラクター,000a01c2a3,ココリエルサ,2015105929,ダイワメジャー,2001103114,,日西牧場,0.0,2017.0,2015.0,2001.0
2025107898,グリージャの2025,牝,,,ダノンレジェンド,2010110102,グリージャ,2018101358,モンテロッソ,000a011b05,,日西牧場,0.0,2010.0,2018.0,2007.0
2025107897,ローブディアンジェの2025,牡,,,ゴールドドリーム,2013106119,ローブディアンジェ,2012104824,ネオユニヴァース,2000101426,,マリオステーブル,0.0,2013.0,2012.0,2000.0
2025107896,ルトルヴェールの2025,牝,,,シャープアステカ,000a013e22,ルトルヴェール,2012104894,ステイゴールド,1994108729,,マリオステーブル,0.0,2013.0,2012.0,1994.0
2025107895,リトルの2025,牡,,,マカヒキ,2013105788,リトル,2011106613,ヨハネスブルグ,000a0103b9,,マリオステーブル,0.0,2013.0,2011.0,1999.0
2025107894,リゼタイムスの2025,牡,,,モーニン,2012110091,リゼタイムス,2011100288,ブライアンズタイム,000a000082,,マリオステーブル,0.0,2012.0,2011.0,1985.0
2025107893,ムーランブランの2025,牡,,,チュウワウィザード,2015104879,ムーランブラン,2016103155,クロフネ,1998110135,,マリオステーブル,0.0,2015.0,2016.0,1998.0
2025107892,マリアルージュの2025,牡,,,モーニン,2012110091,マリアルージュ,2016106438,ベルシャザール,2008103004,,マリオステーブル,0.0,2012.0,2016.0,2008.0
2025107891,ポッドマロンの2025,牝,,,ベストウォーリア,2010110127,ポッドマロン,2012102693,ネオユニヴァース,2000101426,,マリオステーブル,0.0,2010.0,2012.0,2000.0
