horse_id,horse_name,sex,trainer,trainer_id,sire,sire_id,dam,dam_id,sire_of_dam,bms_id,owner,breeder,total_prize,sire_birth_year,dam_birth_year,bms_birth_year
2021105898,レガレイラ,牝,木村哲也,,スワーヴリチャード,2014106083,ロカ,2012104903,ハービンジャー,000a011996,サンデーレーシング,ノーザンファーム,"91,063.7",2014.0,2012.0,2006.0
2021105143,ダノンデサイル,牡,安田翔伍,,エピファネイア,2010104155,トップデサイル,000a013daa,Congrats,000a010687,ダノックス,社台ファーム,"83,681.8",2010.0,2012.0,2000.0
2021107171,ジャンタルマンタル,牡,高野友和,,パレスマリス,000a014a1a,インディアマントゥアナ,000a01b4fc,Wilburn,000a013c87,社台レースホース,社台ファーム,"71,249.8",2010.0,2014.0,2008.0
2021190001,カランダガン,セ,グラファ,,Gleneagles,000a0128fa,Calayana,000a02081b,Sinndar,000a002329,アガ・カーン・スタッズ,Haras De S.A. Aga Khan Scea,"50,378.0",2012.0,2014.0,1997.0
2021105521,ヘデントール,牡,木村哲也,,ルーラーシップ,2007103143,コルコバード,2013105816,ステイゴールド,1994108729,キャロットファーム,ノーザンファーム,"48,610.1",2007.0,2013.0,1994.0
2021105643,チェルヴィニア,牝,木村哲也,,ハービンジャー,000a011996,チェッキーノ,2013106005,キングカメハメハ,2001103460,サンデーレーシング,ノーザンファーム,"41,956.6",2006.0,2013.0,2001.0
2021103272,メイショウタバル,牡,石橋守,,ゴールドシップ,2009102739,メイショウツバクロ,2010105144,フレンチデピュティ,000a00013a,松本好隆,三嶋牧場,"41,809.3",2009.0,2010.0,1992.0
2021105795,ジャスティンミラノ,牡,友道康夫,,キズナ,2010105827,マーゴットディド,000a013dbc,Exceed And Excel,000a010a61,三木正浩,ノーザンファーム,"40,306.9",2010.0,2008.0,2000.0
2021105615,ミッキーファイト,牡,田中博康,,ドレフォン,000a013b82,スペシャルグルーヴ,2007103232,スペシャルウィーク,1995103211,野田みづき,ノーザンファーム,"40,038.7",2013.0,2007.0,1995.0
2021105436,アーバンシック,牡,武井亮,,スワーヴリチャード,2014106083,エッジースタイル,2013106141,ハービンジャー,000a011996,シルクレーシング,ノーザンファーム,"39,761.2",2014.0,2013.0,2006.0
2021105354,アスコリピチェーノ,牝,黒岩陽一,,ダイワメジャー,2001103114,アスコルティ,2011104104,Danehill Dancer,000a002309,サンデーレーシング,ノーザンファーム,"39,699.5",2001.0,2011.0,1993.0
2021106787,コスモキュランダ,牡,加藤士津,,アルアイン,2014106046,サザンスピード,000a01216c,Southern Image,000a011132,ビッグレッドファーム,ビッグレッドファーム,"39,339.0",2014.0,2007.0,2000.0
2021110048,シンエンペラー,牡,矢作芳人,,Siyouni,000a012056,Starlet's Sister,000a013a83,Galileo,000a00232b,藤田晋,Ecurie Des Monceaux,"35,604.4",2007.0,2009.0,1998.0
