horse_id,horse_name,sire_ei,bms_ei,sire_win_rate,bms_win_rate,sire_runners,sire_progeny_prize,bms_runners,bms_progeny_prize,sire_rank_score,bms_rank_score,dam_prize,sire_prize,trainer_score,owner_score,breeder_score,birth_month,sire_age,dam_age,dam_sire_age,early_born,sire_young,dam_young,both_parents_young,sire_first_crop,dam_bms_gap_small,sale_price_log,foal_number,dam_breeding_age,total_dam_foals,sibling_classic,dam_progeny_quality,sire_classic_count,sire_classic_rate,sire_oaks_count,sire_oaks_rate,bms_classic_count,dam_high_class,sire_ei_trend,imported_dam,sire_dam_interaction,trainer_breeder_combo,owner_trainer_combo,bms_dam_interaction,score
2024106294,クールサンバの2024,1.97,1.13,0.293,1.0,208,272546.4,1,750.0,96.0,0.0,0.0,187684.0,78.0,90.0,95.0,2,12.0,6.0,12.0,1,1.0,1.0,1.0,0.0,1.0,0.0,2.0,5.0,2,0,0.0,5,2.403846153846154,2,0.9615384615384616,0,0,0.20999999999999996,1,0.0,7410.0,7020.0,0.0,339.1565458430734
2024106612,マジックアティテュードの2024,0.54,1.42,0.238,0.329,80,28808.9,79,74292.0,0.0,60.0,0.0,119529.0,80.0,90.0,95.0,3,7.0,7.0,26.0,1,1.0,1.0,1.0,1.0,0.0,0.0,2.0,6.0,2,0,0.0,0,0.0,0,0.0,1,0,0.0,1,0.0,7600.0,7200.0,0.0,338.45115015921186
2024106674,ブレイクガール,1.94,0.88,0.375,1.0,341,440117.9,2,1176.0,100.0,0.0,0.0,47639.0,82.0,78.0,95.0,2,14.0,7.0,15.0,1,0.0,1.0,0.0,0.0,1.0,9.642187721358466,3.0,5.0,3,0,0.0,8,2.346041055718475,4,1.1730205278592376,0,0,0.06999999999999984,1,0.0,7790.0,6396.0,0.0,338.0711314558627
2024106316,キューティボンド,1.03,1.39,0.288,0.2,198,134898.4,5,4629.7,76.0,0.0,0.0,52358.0,85.0,78.0,95.0,1,8.0,10.0,19.0,1,1.0,1.0,1.0,0.0,1.0,9.83633227734872,6.0,5.0,6,1,0.2,1,0.5050505050505051,0,0.0,1,0,0.48,1,0.0,8075.0,6630.0,0.0,336.39833810150714
2024106440,ダイアナブライトの2024,1.86,1.21,0.319,0.283,326,402126.4,686,549313.6,98.0,100.0,5370.0,66995.0,82.0,82.0,95.0,2,16.0,8.0,22.0,1,0.0,1.0,0.0,0.0,1.0,0.0,2.0,7.0,2,0,0.0,3,0.9202453987730062,1,0.3067484662576687,4,1,0.18000000000000016,0,15.975111065224157,7790.0,6724.0,10.392410961785606,334.41524217536966
2024106330,サラキアの2024,1.03,1.21,0.288,0.283,198,134898.4,686,549313.6,76.0,100.0,35068.0,52358.0,78.0,82.0,95.0,1,8.0,9.0,22.0,1,1.0,1.0,1.0,0.0,1.0,0.0,3.0,7.0,3,0,0.0,1,0.5050505050505051,0,0.0,4,1,0.48,0,10.779025013177746,7410.0,6396.0,12.66273812227677,334.1313027984444
2024106694,リナーテの2024,1.2,1.04,0.302,0.201,315,251282.6,174,120822.8,92.0,80.0,13736.0,68779.0,82.0,90.0,95.0,4,14.0,10.0,30.0,1,0.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,4,0,0.0,4,1.2698412698412698,2,0.6349206349206349,0,1,-0.25,0,11.433417841590247,7790.0,7380.0,9.908962129378214,334.077859450031
2024105923,アクロスザタイム,1.03,1.21,0.288,0.283,198,134898.4,686,549313.6,76.0,100.0,0.0,52358.0,81.0,76.0,88.0,2,8.0,6.0,22.0,1,1.0,1.0,1.0,0.0,0.0,8.571870752706934,1.0,6.0,1,0,0.0,1,0.5050505050505051,0,0.0,4,0,0.48,1,0.0,7128.0,6156.0,0.0,332.8009923934393
2024106620,マルケッサの2024,1.97,1.01,0.293,0.265,208,272546.4,98,65947.6,96.0,56.0,175.0,187684.0,81.0,90.0,95.0,4,12.0,9.0,16.0,1,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,5,0,0.0,5,2.403846153846154,2,0.9615384615384616,1,0,0.20999999999999996,0,10.185853470225158,7695.0,7290.0,5.222188834988533,331.5677324505853
2024105873,シアードラマの2024,1.97,4.16,0.293,1.0,208,272546.4,4,11055.0,96.0,0.0,0.0,187684.0,85.0,85.0,88.0,3,12.0,14.0,26.0,1,1.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,6,0,0.0,5,2.403846153846154,2,0.9615384615384616,0,0,0.20999999999999996,1,0.0,7480.0,7225.0,0.0,330.6913703029908
2024105756,インディアマントゥアナの2024,0.74,10.23,0.19,0.333,163,80041.5,6,40772.0,42.0,24.0,0.0,75202.0,82.0,85.0,88.0,2,13.0,10.0,16.0,1,1.0,1.0,1.0,0.0,1.0,0.0,3.0,7.0,3,0,0.0,0,0.0,0,0.0,0,0,-0.3500000000000001,1,0.0,7216.0,6970.0,0.0,330.32120601987464
2024106486,ドナウデルタの2024,1.2,0.55,0.302,0.197,315,251282.6,178,64880.2,92.0,54.0,12738.0,68779.0,90.0,82.0,95.0,1,14.0,8.0,16.0,1,0.0,1.0,0.0,0.0,1.0,0.0,2.0,7.0,2,0,0.0,4,1.2698412698412698,2,0.6349206349206349,0,1,-0.25,0,11.342908119731744,8550.0,7380.0,5.198832888210384,327.839544239067
2024106292,クロノジェネシスの2024,1.03,0.6,0.288,0.222,198,134898.4,27,10809.4,76.0,0.0,110171.0,52358.0,84.0,90.0,95.0,4,8.0,8.0,23.0,1,1.0,1.0,1.0,0.0,1.0,0.0,2.0,7.0,2,0,0.0,1,0.5050505050505051,0,0.0,0,1,0.48,0,11.958092001729652,7980.0,7560.0,6.96587883595902,326.8662803963496
2024106354,シャンパンエニワンの2024,0.54,1.22,0.238,0.35,80,28808.9,40,32410.5,0.0,14.0,0.0,119529.0,80.0,90.0,95.0,1,7.0,8.0,20.0,1,1.0,1.0,1.0,1.0,1.0,0.0,3.0,5.0,3,0,0.0,0,0.0,0,0.0,0,0,0.0,1,0.0,7600.0,7200.0,0.0,325.80465877477064
2024106505,バラーディストの2024,1.86,1.54,0.319,0.222,326,402126.4,329,335812.1,98.0,96.0,3045.0,66995.0,82.0,82.0,95.0,3,16.0,8.0,23.0,1,0.0,1.0,0.0,0.0,1.0,0.0,2.0,7.0,2,0,0.0,3,0.9202453987730062,1,0.3067484662576687,1,0,0.18000000000000016,0,14.9201472322265,7790.0,6724.0,12.353240181520864,323.3863788721266
2024106377,シーブルックの2024,0.96,1.3,0.257,1.0,257,164742.8,1,861.0,84.0,0.0,0.0,53624.0,80.0,82.0,95.0,1,13.0,9.0,17.0,1,1.0,1.0,1.0,0.0,1.0,0.0,3.0,7.0,3,0,0.0,1,0.38910505836575876,0,0.0,0,0,-0.24,1,0.0,7600.0,6560.0,0.0,322.7428743936483
