horse_id,horse_name,sex,trainer,trainer_id,sire,sire_id,dam,dam_id,sire_of_dam,bms_id,owner,breeder,total_prize,sire_birth_year,dam_birth_year,bms_birth_year
2022105081,ミュージアムマイル,牡,高柳大輔,,リオンディーズ,2013105915,ミュージアムヒル,2015105106,ハーツクライ,2001103038,サンデーレーシング,ノーザンファーム,"96,179.9",2013.0,2015.0,2001.0
2022105519,マスカレードボール,牡,手塚貴久,,ドゥラメンテ,2012104511,マスクオフ,2009105916,ディープインパクト,2002100816,社台レースホース,社台ファーム,"75,169.0",2012.0,2009.0,2002.0
2022105102,クロワデュノール,牡,斉藤崇史,,キタサンブラック,2012102013,ライジングクロス,000a011523,Cape Cross,000a0022ae,サンデーレーシング,ノーザンファーム,"60,748.6",2012.0,2003.0,1994.0
2022105185,エンブロイダリー,牝,森一誠,,アドマイヤマーズ,2016104422,ロッテンマイヤー,2013105783,クロフネ,1998110135,シルクレーシング,ノーザンファーム,"33,833.1",2016.0,2013.0,1998.0
2022104685,エネルジコ,牡,高柳瑞樹,,ドゥラメンテ,2012104511,エノラ,000a012f85,Noverre,000a0103cf,シルクレーシング,ノーザンファーム,"31,821.9",2012.0,2007.0,1998.0
2022105402,カムニャック,牝,友道康夫,,ブラックタイド,2001103312,ダンスアミーガ,2011104307,サクラバクシンオー,1989108341,金子真人ホールディングス,社台ファーム,"29,772.3",2001.0,2011.0,1989.0
2022105099,エリキング,牡,中内田充,,キズナ,2010105827,ヤングスター,000a0140b9,High Chaparral,000a010270,藤田晋,ノーザンファーム,"25,447.0",2010.0,2014.0,1999.0
2022104714,ショウヘイ,牡,友道康夫,,サートゥルナーリア,2016104505,オーロトラジェ,2016104637,オルフェーヴル,2008102636,石川達絵,ノーザンファーム,"23,362.9",2016.0,2016.0,2008.0
2022103795,ナチュラルライズ,牡,伊藤圭三,,キズナ,2010105827,レディマドンナ,2016105687,Distorted Humor,000a0022ea,吉岡寛行,グランド牧場,"23,224.3",2010.0,2016.0,1993.0
2022101732,パンジャタワー,牡,橋口慎介,,タワーオブロンドン,2015101621,クラークスデール,2016104395,ヴィクトワールピサ,2007102923,ＤｅｅｐＣｒｅｅｋ,チャンピオンズファーム,"22,923.0",2015.0,2016.0,2007.0
2022105110,アルマヴェローチェ,牝,上村洋行,,ハービンジャー,000a011996,ラクアミ,2012104923,ダイワメジャー,2001103114,ＴＯＲＡＣＩＮＧ,ノーザンファーム,"21,867.2",2006.0,2012.0,2001.0
2022104736,ゲルチュタール,牡,杉山晴紀,,ブリックスアンドモルタル,000a014377,キラービューティ,2014105886,ゼンノロブロイ,2000101517,サンデーレーシング,ノーザンファーム,"15,938.4",2014.0,2014.0,2000.0
2022106610,ヤマニンチェルキ,牡,中村直也,,フォーウィールドライブ,000a01b93e,ヤマニンプチガトー,2009105000,ヤマニンセラフィム,1999104188,土井肇,錦岡牧場,"15,159.5",2017.0,2009.0,1999.0
2022101420,サトノシャイニング,牡,杉山晴紀,,キズナ,2010105827,スウィーティーガール,000a013e15,Star Dabbler,000a013be8,里見治,下河辺牧場,"14,576.8",2010.0,2012.0,2003.0
2022101638,ナルカミ,牡,田中博康,,サンダースノー,000a013a06,オムニプレゼンス,2017106567,ディープインパクト,2002100816,ゴドルフィン,ダーレー・ジャパン・ファーム,"14,107.1",2014.0,2017.0,2002.0
