horse_id,horse_name,sex,trainer,trainer_id,sire,sire_id,dam,dam_id,sire_of_dam,bms_id,owner,breeder,total_prize,sire_birth_year,dam_birth_year,bms_birth_year
2023107153,カヴァレリッツォ,牡,吉岡辰弥,,サートゥルナーリア,2016104505,バラーディスト,2016104570,ハーツクライ,2001103038,シルクレーシング,ノーザンファーム,"9,362.4",2016.0,2016.0,2001.0
2023107089,ロブチェン,牡,杉山晴紀,,ワールドプレミア,2016104854,ソングライティング,2013110090,Giant's Causeway,000a0022e1,フォレストレーシング,ノーザンファーム,"8,870.9",2016.0,2013.0,1997.0
2023103604,リアライズシリウス,牡,手塚貴久,,ポエティックフレア,000a01ba0e,レッドミラベル,2014105575,ステイゴールド,1994108729,今福洋介,社台ファーム,"8,718.6",2018.0,2014.0,1994.0
2023106920,スターアニス,牝,高野友和,,ドレフォン,000a013b82,エピセアローム,2009106383,ダイワメジャー,2001103114,吉田勝己,ノーザンファーム,"8,476.8",2013.0,2009.0,2001.0
2023105685,ダイヤモンドノット,牡,福永祐一,,ブリックスアンドモルタル,000a014377,エンドレスノット,2009106084,ディープインパクト,2002100816,金子真人ホールディングス,坂東牧場,"8,165.0",2014.0,2009.0,2002.0
2023106850,ゾロアストロ,牡,宮田敬介,,モーリス,2011100655,アルミレーナ,2014106051,ディープインパクト,2002100816,サンデーレーシング,ノーザンファーム,"7,338.9",2011.0,2014.0,2002.0
2023105311,アドマイヤクワッズ,牡,友道康夫,,リアルスティール,2012104889,デイトライン,2017105475,Zoffany,000a012701,近藤旬子,ノーザンファーム,"6,395.6",2012.0,2017.0,2008.0
2023107008,ブラックチャリス,牝,武幸四郎,,キタサンブラック,2012102013,ゴールドチャリス,2018105067,トゥザワールド,2011103975,フィールドレーシング,ノーザンファーム,"6,259.3",2012.0,2018.0,2011.0
2023101134,パイロマンサー,牡,吉村圭司,,パイロ,000a01176a,セントリフュージ,2015101637,ハードスパン,000a0116a1,ゴドルフィン,ダーレー・ジャパン・ファーム,"6,094.3",2005.0,2015.0,2004.0
2023107146,ドリームコア,牝,萩原清,,キズナ,2010105827,ノームコア,2015104765,ハービンジャー,000a011996,吉田勝己,ノーザンファーム,"6,018.9",2010.0,2015.0,2006.0
2023102467,タマモフリージア,牝,大橋勇樹,,ルヴァンスレーヴ,2015104189,タマモエルドラド,2014100896,ゴールドアリュール,1999106689,タマモ,岡田牧場,"5,720.0",2015.0,2014.0,1999.0
2023106400,アスクエジンバラ,牡,福永祐一,,リオンディーズ,2013105915,ハニートリップ,2014102020,マンハッタンカフェ,1998101554,廣崎利洋,三嶋牧場,"5,415.3",2013.0,2014.0,1998.0
2023103184,エコロアルバ,牡,田村康仁,,モズアスコット,2014110031,スターアクトレス,2011102578,フレンチデピュティ,000a00013a,原村正紀,藤原牧場,"5,178.7",2014.0,2011.0,1992.0
2023107053,サンダーストラック,牡,木村哲也,,ロードカナロア,2008103552,シーブルック,000a01b819,Hinchinbrook,000a014231,キャロットファーム,ノーザンファーム,"5,018.4",2008.0,2015.0,2007.0
2023106900,タイセイボーグ,牝,松下武士,,インディチャンプ,2015104688,ヴィヤダーナ,000a011aa1,Azamour,000a01053b,田中成奉,ノーザンファーム,"4,959.5",2015.0,2007.0,2001.0
2023105456,グリーンエナジー,牡,上原佑紀,,スワーヴリチャード,2014106083,シンバルII,000a011a52,シングスピール,1992190005,鈴江崇文,辻牧場,"4,903.9",2014.0,2005.0,1992.0
2023107377,パントルナイーフ,牡,木村哲也,,キズナ,2010105827,アールブリュット,2012104535,マクフィ,000a011c77,キャロットファーム,新冠橋本牧場,"4,704.1",2010.0,2012.0,2007.0
2023105481,トウカイマシェリ,牝,高柳大輔,,ドレフォン,000a013b82,トウカイミステリー,2006103886,キングカメハメハ,2001103460,内村正則,平野牧場,"4,560.0",2013.0,2006.0,2001.0
2023105312,リリージョワ,牝,武幸四郎,,シルバーステート,2013105903,デサフィアンテ,2015104642,キングカメハメハ,2001103460,Ｇリビエール・レーシング,ノーザンファーム,"4,489.2",2013.0,2015.0,2001.0
2023107265,フェスティバルヒル,牝,四位洋文,,サートゥルナーリア,2016104505,ミュージアムヒル,2015105106,ハーツクライ,2001103038,吉田勝己,ノーザンファーム,"4,478.5",2016.0,2015.0,2001.0
2023100167,アンジュルナ,牝,小久保智,,Tiz the Law,000a016e93,アイワンダーアズアイワンダー,000a01d96f,American Pharoah,000a012aad,竹下浩一,千里ファーム,"4,305.0",2017.0,2018.0,2012.0
2023104475,スウィートハピネス,牝,北出成人,,リアルインパクト,2008103244,フラル,2016100587,ワークフォース,000a011a7f,前田幸大,平山牧場,"4,296.2",2008.0,2016.0,2007.0
